Year,Month,Day,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,1,2,10.82,5.09,7.95,11.13,8.91,16.41,7.51
1981,1,3,10.74,6.97,8.85,10.84,8.29,15.64,7.35
1981,1,4,11.17,6.86,9.01,10.93,7.53,15.99,8.46
1981,1,5,10.2,6.62,8.41,10.66,8.73,15.6,6.87
1981,1,6,10.35,7.69,9.02,10.92,10.21,16.16,5.95
1981,1,7,12.26,6.32,9.3,12.06,8.95,18.24,9.3
1981,1,8,12.76,6.72,9.73,12.51,10.51,19.23,8.72
1981,1,9,12.61,7.95,10.28,11.88,8.89,17.8,8.9
1981,1,10,12.19,9.03,10.61,12.66,8.26,17.29,9.03
1981,1,11,11.19,5.49,8.34,11.97,5.38,13.3,7.93
1981,1,12,8.22,3.46,5.83,8.83,4.96,11.44,6.48
1981,1,13,9.24,4.94,7.09,9.25,5.91,11.94,6.02
1981,1,14,7.9,1.18,4.55,9.38,7.28,11.51,4.23
1981,1,15,8.19,1.76,4.98,9.16,11.52,14.64,3.12
1981,1,16,11.23,8.09,9.66,11.72,8.84,15.98,7.14
1981,1,17,12.56,9.47,11.01,12.94,5.95,16.41,10.46
1981,1,18,12.24,9.51,10.87,12.57,7.73,17.15,9.44
1981,1,19,11.87,8.48,10.18,11.93,9.45,18.14,8.69
1981,1,20,12.55,8.35,10.45,12.11,10.73,19.4,8.66
1981,1,21,12.88,6.73,9.81,12.45,10.94,19.56,8.62
1981,1,22,13.62,10.36,11.99,13.44,10.02,19.81,9.79
1981,1,23,12.98,9.7,11.34,12.92,7.69,17.62,9.94
1981,1,24,13.55,9.54,11.55,13.43,9.08,19.31,10.23
1981,1,25,14.81,8.34,11.58,13.75,10.73,21.33,10.6
1981,1,26,15.69,10.95,13.32,14.48,5.8,19.08,13.28
1981,1,27,16.6,10.13,13.37,16.22,10.39,23.69,13.3
1981,1,28,15.83,9.15,12.49,15.25,10.11,22.26,12.15
1981,1,29,16.82,5.84,11.33,15.62,11.3,24.24,12.94
1981,1,30,14.6,8.04,11.32,14.08,6.41,18.54,12.12
1981,1,31,14.79,9.91,12.35,14.31,5.52,18.26,12.74
1981,2,1,14.31,9.35,11.83,14.15,8.46,19.3,10.84
1981,2,2,12.09,3.13,7.61,12.15,12.24,19,6.76
1981,2,3,10.4,1.65,6.03,11.25,13.12,17.68,4.55
1981,2,4,11.31,5.44,8.37,11.43,9.39,16.98,7.59
1981,2,5,11.73,8.7,10.22,12.34,7.15,15.9,8.76
1981,2,6,12.58,8.3,10.44,13.15,12.73,19.94,7.21
1981,2,7,14.23,9.61,11.91,14,9.24,19.43,10.19
1981,2,8,15.39,11.89,13.64,15.15,9.64,21.4,11.76
1981,2,9,15.12,11.37,13.24,14.89,8.16,20.3,12.14
1981,2,10,12.15,8.89,10.51,12.6,7.05,15.51,8.46
1981,2,11,10.87,5.74,8.31,11.94,7.14,15.16,8.02
1981,2,12,10.86,5.62,8.24,11.53,5.15,14.1,8.94
1981,2,13,11.56,5.14,8.35,11.95,9.76,17.02,7.26
1981,2,14,14.34,4.86,9.6,13.62,11.15,20.41,9.26
1981,2,15,13.59,7.72,10.65,13.2,7.06,18.41,11.35
1981,2,16,10.83,8.48,9.65,11.01,1.35,11.54,10.19
1981,2,17,12.86,9.07,10.96,12.65,7.24,17.4,10.16
1981,2,18,12.15,8.23,10.19,12.35,7.34,16.69,9.33
1981,2,19,11.07,7.73,9.4,11.66,5.98,14.47,8.48
1981,2,20,11.61,7.37,9.48,12.43,4.6,14.25,9.65
1981,2,21,11.33,4.24,7.79,12.15,7.7,15.78,8.08
1981,2,22,11.25,4.4,7.83,12.12,11.55,17.32,5.76
1981,2,23,12.86,8,10.43,13.57,8.74,18.22,9.48
1981,2,24,14.15,7.37,10.76,14.65,12.61,21.62,9.01
1981,2,25,15.4,6.32,10.86,15.26,14.2,23.65,9.45
1981,2,26,16.63,6.27,11.45,16.19,10.17,22.74,12.57
1981,2,27,17.38,8.04,12.71,16.98,9.11,23.31,14.2
1981,2,28,16.24,11.81,14.02,16.12,6.03,19.69,13.66
1981,3,1,15.51,12.03,13.77,15.73,7.25,19.56,12.31
1981,3,2,14.22,9.58,11.9,15.14,8.59,19.37,10.79
1981,3,3,12.65,8.3,10.48,12.87,7.46,16.44,8.98
1981,3,4,13.4,8.51,10.95,14.24,7.05,17.47,10.43
1981,3,5,13.53,8.16,10.84,14.29,11.56,19.6,8.04
1981,3,6,15.98,9.73,12.86,16.42,12.65,23.43,10.79
1981,3,7,18.72,8.73,13.73,18.23,14.66,26.73,12.06
1981,3,8,18.79,10.55,14.67,18.42,13.05,26.11,13.06
1981,3,9,20.65,9.52,15.08,19.49,14.84,30.16,15.33
1981,3,10,21.81,9.36,15.58,20.15,14.89,30.8,15.9
1981,3,11,22.27,9.73,16.01,20.8,15.3,31.68,16.38
1981,3,12,19.38,10.67,15.03,18.17,8.6,23.7,15.1
1981,3,13,16.57,13.53,15.05,16.37,7.24,20.48,13.23
1981,3,14,16.44,12.28,14.36,16.33,9.64,21.42,11.77
1981,3,15,15.89,11.67,13.78,16.74,7.66,20.38,12.72
1981,3,16,14.72,10.06,12.39,15.75,6.5,18.51,12.01
1981,3,17,14.48,10.08,12.28,15.4,6.82,18.66,11.84
1981,3,18,15.26,7.03,11.15,16.01,12.7,22.26,9.55
1981,3,19,13.72,10.8,12.26,14.04,3.96,16.15,12.19
1981,3,20,14.37,10.46,12.42,15.13,8.02,18.87,10.85
1981,3,21,15.32,10.35,12.83,15.78,10.05,21.5,11.44
1981,3,22,15.4,9.01,12.21,16.31,12.27,22.34,10.07
1981,3,23,16.38,10.31,13.34,17.05,12.38,23.08,10.7
1981,3,24,18.86,10.41,14.63,19.19,14.07,26.8,12.73
1981,3,25,19.71,8.07,13.89,19.3,13.33,27.88,14.56
1981,3,26,17.9,9.41,13.66,18.42,10.13,24.12,13.98
1981,3,27,17.9,9.98,13.94,18.19,10.37,24.16,13.8
1981,3,28,17.82,11.34,14.58,18.19,10.59,23.5,12.91
1981,3,29,15.57,10.12,12.84,16.22,5.75,18.9,13.15
1981,3,30,13.91,9.55,11.73,14.89,5.16,16.87,11.72
1981,3,31,14.53,9.81,12.17,15.64,7.68,18.83,11.15
1981,4,1,14.99,8.03,11.51,16.2,12.56,21.94,9.37
1981,4,2,15.3,11.12,13.21,15.76,5.55,18.24,12.69
1981,4,3,15.01,9.15,12.08,16.05,8.14,19.76,11.62
1981,4,4,15.49,9.47,12.48,16.44,11.13,21.5,10.37
1981,4,5,15.37,11.41,13.39,16.02,6.2,19.27,13.07
1981,4,6,15.65,9.92,12.79,16.6,10.29,21.63,11.34
1981,4,7,16.07,12.16,14.12,16.41,8.47,20.69,12.23
1981,4,8,19.48,12.12,15.8,18.86,13.38,27.49,14.12
1981,4,9,19.73,12.77,16.26,19.19,15.16,31.02,15.86
1981,4,10,18.05,12.34,15.19,18.65,10.54,24.15,13.62
1981,4,11,16.94,12.58,14.76,17.75,8.88,22.36,13.48
1981,4,12,16.64,11.42,14.03,17.55,7.67,21.01,13.33
1981,4,13,16.63,10.98,13.8,17.74,8.72,21.55,12.83
1981,4,14,15.88,11.24,13.56,16.58,7.96,20.3,12.33
1981,4,15,16.58,12.06,14.32,17.51,7.59,20.88,13.3
1981,4,16,14.93,9.12,12.02,16.56,7.86,19.4,11.54
1981,4,17,15.43,10.05,12.73,16.87,7.15,19.47,12.31
1981,4,18,16.65,10.43,13.54,17.53,10.65,22.6,11.95
1981,4,19,16.65,10.9,13.77,18.04,8.67,21.88,13.21
1981,4,20,15.73,9.97,12.84,17.09,7.66,19.91,12.25
1981,4,21,15.15,8.13,11.64,16.01,7.76,18.71,10.94
1981,4,22,13.87,6.92,10.39,15.08,6.73,17.59,10.86
1981,4,23,14.18,9.32,11.75,15.22,5.92,17.27,11.35
1981,4,24,14.37,9.2,11.79,15.81,7.93,18.71,10.78
1981,4,25,14.48,10.15,12.32,15.69,7.34,18.26,10.91
1981,4,26,14.04,8.05,11.05,15.89,8.06,18.03,9.97
1981,4,27,13.25,6.13,9.69,15.14,9.34,18.38,9.04
1981,4,28,13.28,8.11,10.69,14.82,7.52,17.8,10.28
1981,4,29,13.62,7.35,10.48,15.4,10.13,19.33,9.2
1981,4,30,13.96,8.22,11.09,15.48,9.48,18.49,9.01
1981,5,1,15,10.16,12.58,16.56,8.27,19.4,11.14
1981,5,2,16.28,10.86,13.57,17.58,10.77,22.07,11.3
1981,5,3,15.88,10.53,13.21,17.6,9.19,21.29,12.1
1981,5,4,16.73,10.08,13.4,18.11,13.59,23.71,10.13
1981,5,5,18.77,11.2,14.98,19.19,13.7,26.44,12.73
1981,5,6,20.01,12.08,16.04,20.38,12.91,27.37,14.46
1981,5,7,18.11,12.9,15.5,19.37,8.09,22.47,14.37
1981,5,8,17.48,11.12,14.3,18.94,9.21,22.95,13.74
1981,5,9,15.74,9.08,12.41,17.33,6.48,19.59,13.11
1981,5,10,15.87,10.08,12.98,17.26,6.82,19.91,13.09
1981,5,11,17.26,12.06,14.65,19.09,9.44,22.47,13.03
1981,5,12,17.52,11.48,14.5,19.15,10.22,23.23,13.01
1981,5,13,17.5,11.19,14.34,18.74,11.23,23.55,12.31
1981,5,14,17.51,12.02,14.76,18.78,8.03,21.9,13.87
1981,5,15,16.94,10.4,13.66,18.77,8.62,21.71,13.08
1981,5,16,17.14,11.05,14.09,18.73,10.3,22.48,12.18
1981,5,17,18.46,12.6,15.53,19.88,10.95,24.47,13.51
1981,5,18,18.65,12.56,15.61,20.48,12.52,25.44,12.91
1981,5,19,18.94,12.8,15.87,20.76,11.65,25.38,13.73
1981,5,20,18.55,12.3,15.42,20.24,9.3,23.65,14.34
1981,5,21,18.04,11.5,14.77,19.75,8.53,22.44,13.9
1981,5,22,18.8,11.79,15.3,20.05,10.83,24.69,13.87
1981,5,23,19.74,13.22,16.48,21.3,12.18,26.44,14.26
1981,5,24,20.45,14.23,17.34,21.89,11.3,26.39,15.09
1981,5,25,19.28,11.94,15.62,21.15,10.09,24.87,14.77
1981,5,26,17.72,11.17,14.44,19.87,8.01,22.23,14.22
1981,5,27,18.52,11.26,14.89,20.14,10.7,24.01,13.3
1981,5,28,18.88,13.17,16.03,20.14,9.27,23.27,14.01
1981,5,29,20.05,13.63,16.83,22.01,11.98,26.42,14.44
1981,5,30,19.17,13.48,16.33,21.59,8.38,24.19,15.81
1981,5,31,19.69,12.06,15.87,22.26,9.62,25.21,15.59
1981,6,1,20.4,12.73,16.56,22.47,11.55,26.32,14.76
1981,6,2,19.29,13.55,16.42,21.56,8.11,23.77,15.67
1981,6,3,19.29,12.94,16.12,21.31,9.34,24.09,14.74
1981,6,4,20.3,13.57,16.94,21.81,9.59,25.65,16.05
1981,6,5,21.31,15.96,18.64,23.11,9.66,26.4,16.74
1981,6,6,20.83,16.59,18.71,22.58,7.8,25.76,17.95
1981,6,7,20.92,15.83,18.37,22.88,7.98,25.15,17.17
1981,6,8,21.45,16.19,18.82,23.46,8.33,26.24,17.92
1981,6,9,21.41,16.62,19.01,23.35,8.11,25.68,17.57
1981,6,10,22.02,16.51,19.26,24.19,9.22,27.33,18.12
1981,6,11,23.89,16.58,20.23,25.92,12.73,30.26,17.54
1981,6,12,26.2,15.92,21.06,27.79,12.02,32.62,20.6
1981,6,13,27.82,15.9,21.86,28.59,10.12,32.95,22.83
1981,6,14,27.91,15.67,21.8,28.49,13.27,35.34,22.08
1981,6,15,27.35,15.86,21.6,28.44,13.86,35.04,21.18
1981,6,16,26.3,16.27,21.28,27.86,12.32,32.83,20.51
1981,6,17,25.69,15.94,20.82,27.04,11.3,32.24,20.94
1981,6,18,26.44,13.52,19.98,27.75,10.7,32.22,21.51
1981,6,19,25.81,14.92,20.37,27.58,11.07,32.08,21.01
1981,6,20,23.8,16.55,20.18,26.12,9.27,29,19.73
1981,6,21,23.48,15.34,19.4,25.68,10.04,29.69,19.65
1981,6,22,22.94,14.62,18.78,25.45,9.05,27.96,18.9
1981,6,23,21.8,14.87,18.33,24.05,8.48,26.6,18.12
1981,6,24,21.65,14.44,18.05,24.34,6.35,25.27,18.93
1981,6,25,22.63,15.15,18.89,25.05,9.3,27.58,18.29
1981,6,26,21.53,15.39,18.46,24.1,7.69,26.01,18.33
1981,6,27,20.01,12.94,16.48,22.28,5.09,22.98,17.89
1981,6,28,20.9,12.77,16.83,23.56,8.2,25.36,17.16
1981,6,29,21.58,14.69,18.14,24.19,7.91,25.84,17.93
1981,6,30,21.45,14.33,17.9,24.36,7.82,25.89,18.07
1981,7,1,21.3,14.6,17.94,24.16,7.62,25.78,18.15
1981,7,2,20.62,12.69,16.66,23.62,7.67,24.99,17.31
1981,7,3,21.43,14.53,17.98,23.58,8.28,26.02,17.74
1981,7,4,22.28,14.61,18.44,24.35,12.38,28.62,16.24
1981,7,5,22.93,17.1,20.01,25.23,10.52,28.5,17.98
1981,7,6,23.15,18.04,20.59,25.68,8.93,28.1,19.17
1981,7,7,22.84,17.91,20.38,25.51,7.38,27.08,19.69
1981,7,8,22.35,16.76,19.55,24.91,6.98,26.4,19.42
1981,7,9,21.78,15.26,18.51,24.03,8.66,26.52,17.87
1981,7,10,21.67,13.99,17.83,24,8.93,26.48,17.55
1981,7,11,22.71,14.9,18.81,24.59,13.7,29.55,15.85
1981,7,12,25.42,17.62,21.52,27.19,13.8,33.08,19.27
1981,7,13,25.52,17.65,21.58,27.65,11.18,31.51,20.33
1981,7,14,26.3,17.05,21.68,28.14,10.73,32.39,21.66
1981,7,15,25.49,17.35,21.42,27.78,10.23,31.21,20.98
1981,7,16,25.33,15.84,20.59,27.36,12.66,32.48,19.82
1981,7,17,25.02,14.94,19.98,26.86,11.69,31.51,19.83
1981,7,18,23.86,18.03,20.94,26.44,8.26,28.47,20.21
1981,7,19,26.32,17,21.66,28.19,14.36,33.65,19.3
1981,7,20,26.82,16.46,21.64,28.59,11.74,33.12,21.38
1981,7,21,24.08,17.65,20.86,26.48,10.39,29.62,19.23
1981,7,22,23.44,17.77,20.61,26.05,8.18,28.12,19.94
1981,7,23,22.57,16.61,19.58,24.97,8.77,27.18,18.41
1981,7,24,23.15,15.37,19.26,25.25,10.62,28.92,18.3
1981,7,25,23.6,15.23,19.41,25.51,12.33,29.99,17.67
1981,7,26,25.52,19.06,22.3,27.6,11.17,31.33,20.15
1981,7,27,26.37,18.01,22.19,28.51,12.01,33.38,21.37
1981,7,28,25.2,18.53,21.87,27.8,9.81,31.08,21.26
1981,7,29,25.48,18.18,21.83,27.76,12.13,32.65,20.53
1981,7,30,24.58,18.84,21.71,27.02,8.98,29.9,20.91
1981,7,31,22.96,17.66,20.31,25.47,7.13,27.26,20.12
1981,8,1,22.15,16.29,19.23,24.83,7.08,26.6,19.53
1981,8,2,21.97,15.08,18.52,24.69,8.07,26.7,18.63
1981,8,3,22.48,15.64,19.05,25.18,9.83,27.76,17.93
1981,8,4,24.27,17.74,21.01,26.45,11.24,30.23,18.99
1981,8,5,24.07,17.94,21,26.51,9.52,29.68,20.16
1981,8,6,24.07,17.82,20.94,26.26,9.99,30.08,20.09
1981,8,7,22.82,17.35,20.08,25.43,7.4,27.14,19.74
1981,8,8,22.33,16.52,19.42,25.12,7.34,26.81,19.47
1981,8,9,22.36,15.55,18.95,25.4,8.16,27.23,19.05
1981,8,10,23.41,16.9,20.15,25.92,10.21,29.21,19
1981,8,11,22.85,16.33,19.59,25.47,8.61,27.9,19.29
1981,8,12,22.05,16.2,19.13,24.99,7.87,26.65,18.78
1981,8,13,22.63,16.37,19.5,25.37,8.3,27.87,19.57
1981,8,14,22.26,16.39,19.33,25.21,8.77,27.65,18.87
1981,8,15,23.28,15.94,19.62,26.3,10.69,29.69,19.01
1981,8,16,24.31,16.5,20.4,26.5,12.2,31.42,19.22
1981,8,17,24.13,18.01,21.07,26.02,10.18,30.17,20
1981,8,18,24.54,18.05,21.3,26.26,8.99,29.21,20.22
1981,8,19,24.87,18.39,21.63,26.23,8.02,29.51,21.5
1981,8,20,23.19,17.56,20.37,24.61,6.37,26.8,20.43
1981,8,21,22.54,15.8,19.17,25.01,7.75,27.21,19.45
1981,8,22,22.94,15.94,19.44,25.13,10.2,28.86,18.65
1981,8,23,23.86,16.83,20.34,25.53,12.06,30.43,18.37
1981,8,24,25.26,17.37,21.32,26.58,12.63,32.49,19.86
1981,8,25,25.48,17.76,21.62,26.34,11.88,32.3,20.4
1981,8,26,25.91,18.59,22.25,27.62,11.35,32.42,21.07
1981,8,27,26.55,15.97,21.26,27.9,11.69,32.88,21.19
1981,8,28,25.08,16.05,20.57,26.67,11.16,31.3,20.14
1981,8,29,22.69,17.77,20.23,24.62,8.4,28.08,19.68
1981,8,30,22.43,16.46,19.44,24.92,7.47,26.81,19.33
1981,8,31,21.51,15.52,18.51,23.97,8.53,26.39,17.86
1981,9,1,21.85,15.45,18.65,23.97,8.97,26.98,18
1981,9,2,22.04,15.06,18.55,23.87,11.3,28.27,16.98
1981,9,3,23.41,16.48,19.94,25.15,12.77,30.35,17.59
1981,9,4,24.22,17.83,21.02,25.72,11.2,30.69,19.49
1981,9,5,23.4,17.67,20.53,25.38,11.43,29.69,18.26
1981,9,6,24.26,17.79,21.02,25.87,11.64,31.12,19.48
1981,9,7,25.73,16.82,21.27,27.01,13.78,33.3,19.52
1981,9,8,26.65,16.05,21.35,27.58,10.61,33.17,22.56
1981,9,9,27.4,16.44,21.92,27.14,11.29,33.85,22.56
1981,9,10,24.07,18.08,21.08,25.65,9.15,29.18,20.03
1981,9,11,22.69,16.28,19.48,24.59,9.77,28.62,18.85
1981,9,12,22.47,17.33,19.9,24.12,9.88,27.9,18.01
1981,9,13,23.37,18.13,20.75,24.76,10.06,28.83,18.77
1981,9,14,24.05,16.83,20.44,25.44,11.92,30.98,19.06
1981,9,15,23.87,18.42,21.15,25.2,9.84,30.32,20.48
1981,9,16,23.55,17.74,20.65,25.26,10.15,29.62,19.48
1981,9,17,23.07,17.63,20.35,24.69,9.6,28.69,19.09
1981,9,18,22.76,17.02,19.89,24.41,8.45,27.83,19.37
1981,9,19,22.11,16.82,19.47,23.53,9.6,27.46,17.86
1981,9,20,21.78,16.27,19.02,23.44,9.5,27.21,17.71
1981,9,21,20.89,16.27,18.58,21.84,7.05,24.75,17.69
1981,9,22,20.23,14.05,17.14,21.35,5.32,23.15,17.83
1981,9,23,19.83,12.79,16.31,21.3,7.49,24.05,16.56
1981,9,24,20.01,11.75,15.88,21.69,7.91,24.71,16.8
1981,9,25,20.41,12.94,16.68,22.51,10.4,26.84,16.44
1981,9,26,20.4,15.83,18.12,21.65,8.76,25.74,16.98
1981,9,27,19.83,12.3,16.07,21.76,6.66,23.61,16.94
1981,9,28,20.76,14.05,17.4,22,10.12,26.55,16.44
1981,9,29,21.79,14.39,18.09,22.87,13.02,29.47,16.44
1981,9,30,22.44,15.6,19.02,22.97,10.62,28.83,18.21
1981,10,1,21.27,16.73,19,22.62,8.52,26.27,17.76
1981,10,2,20.68,15.4,18.04,22.58,7.55,25.27,17.73
1981,10,3,20.12,13.28,16.7,22.12,11.07,26.15,15.08
1981,10,4,20.78,15.17,17.98,22.09,10.14,26.07,15.93
1981,10,5,21.76,15.56,18.66,22.87,10.03,27.9,17.87
1981,10,6,21.06,16.05,18.56,22.94,7.87,25.62,17.74
1981,10,7,22.95,14.61,18.78,23.28,10.56,29.25,18.69
1981,10,8,21.67,16.33,19,22.82,8.42,26.87,18.45
1981,10,9,20.2,17.37,18.79,20.69,6.04,23.95,17.91
1981,10,10,21.26,16.87,19.07,22.13,10.6,27.45,16.85
1981,10,11,21.58,15.69,18.63,22.38,11.79,28.42,16.63
1981,10,12,21.73,14.23,17.98,22.48,11.34,28.63,17.3
1981,10,13,21.94,13.08,17.51,22.41,11.88,28.79,16.91
1981,10,14,23.15,13.19,18.17,23.74,11.43,29.9,18.48
1981,10,15,24.74,9.87,17.31,24.3,8.77,29.37,20.59
1981,10,16,21.94,14.36,18.15,22.95,9.26,27.19,17.94
1981,10,17,21.38,14.12,17.75,21.69,8.08,25.44,17.36
1981,10,18,24.73,12.05,18.38,24.01,13.11,33.46,20.34
1981,10,19,24.26,11.04,17.65,23.69,8.15,28.95,20.81
1981,10,20,23.39,13.82,18.61,23.86,9.18,29.14,19.96
1981,10,21,22.69,15.62,19.15,22.55,8.06,28.02,19.96
1981,10,22,21.73,14.49,18.11,21.76,6.67,25.83,19.15
1981,10,23,20.43,13.15,16.79,19.97,4.62,23.01,18.38
1981,10,24,19.68,16.26,17.97,19.94,4.27,22.27,18.01
1981,10,25,19.97,16.38,18.18,20.67,7.45,24.55,17.09
1981,10,26,18.33,13.14,15.73,19.4,7.54,22.81,15.27
1981,10,27,17.7,12.15,14.93,18.82,10.47,23.64,13.17
1981,10,28,18.63,12.69,15.66,18.82,6.38,22.25,15.87
1981,10,29,20.72,11.86,16.29,20.72,8.8,26.22,17.42
1981,10,30,19.44,14.45,16.94,20.29,8.32,24.55,16.24
1981,10,31,19.94,11.16,15.55,20.45,11.81,27.05,15.24
1981,11,1,21.1,11,16.05,21.39,13.84,28.89,15.05
1981,11,2,20.63,11.61,16.12,20.61,8.25,25.78,17.53
1981,11,3,21.9,11.32,16.61,21.4,10.14,28.12,17.98
1981,11,4,21.67,11.08,16.37,21.51,9.37,27.6,18.23
1981,11,5,22.34,10.04,16.19,22.09,11.38,29.38,18.01
1981,11,6,21.79,10.84,16.32,21.29,9.25,27.58,18.33
1981,11,7,19.58,10.95,15.26,20.01,9.45,25.43,15.98
1981,11,8,19.18,12.68,15.93,19.4,8.56,24.51,15.94
1981,11,9,19.42,13.24,16.33,20.01,8.87,24.83,15.95
1981,11,10,19.12,13.2,16.16,19.22,6.25,22.87,16.62
1981,11,11,22.62,9.49,16.05,21.77,11.87,29.38,17.51
1981,11,12,21.98,9.19,15.58,21.18,9.46,27.97,18.51
1981,11,13,21.08,12.76,16.92,21.15,9.35,27.55,18.19
1981,11,14,20.93,12.43,16.68,21.12,9.61,26.64,17.03
1981,11,15,20.75,11.85,16.3,19.98,8.35,26.4,18.05
1981,11,16,19.44,13,16.23,18.92,5.49,22.87,17.38
1981,11,17,19.81,11.55,15.69,20.08,11.34,26.65,15.31
1981,11,18,19.4,13.15,16.28,19.84,8.93,24.96,16.03
1981,11,19,20.99,11.33,16.16,20.51,9.45,26.26,16.82
1981,11,20,21.78,9.3,15.54,21.55,10.53,27.98,17.44
1981,11,21,20.52,8.56,14.55,20.12,8.36,26.23,17.87
1981,11,22,19.31,8.76,14.04,18.69,6.21,23.04,16.83
1981,11,23,21.11,7.81,14.46,20.44,9.32,27.03,17.7
1981,11,24,19.4,10.41,14.9,19.5,9.91,25.57,15.66
1981,11,25,17.79,10.07,13.93,18,11.01,24.58,13.57
1981,11,26,17.35,10.16,13.76,17.23,10.09,23.69,13.6
1981,11,27,17.56,6.87,12.22,17.6,11.23,24.34,13.12
1981,11,28,17.23,8.32,12.77,17.51,9.86,23.71,13.84
1981,11,29,16.04,9.6,12.82,16.21,9.27,21.63,12.37
1981,11,30,15.89,10.76,13.33,16.39,9.96,21.62,11.66
1981,12,1,15.86,9.36,12.61,15.76,9.43,21.33,11.9
1981,12,2,15.28,10.67,12.98,15.84,8.13,20.11,11.98
1981,12,3,15.15,9.36,12.25,16.01,10.52,21.63,11.12
1981,12,4,14.66,6.55,10.61,15.12,8.77,20.25,11.48
1981,12,5,14.44,8.65,11.55,14.51,7.99,19.23,11.24
1981,12,6,14.97,10.78,12.87,15.4,6.46,18.44,11.99
1981,12,7,14.55,9.8,12.18,15.38,5.13,17.75,12.62
1981,12,8,14.65,10.51,12.58,14.9,8.09,18.87,10.78
1981,12,9,14.88,10.7,12.8,15.04,7.95,19.47,11.52
1981,12,10,15.49,12.46,13.98,15.9,8.95,20.62,11.67
1981,12,11,16.06,13.82,14.94,16.42,6.33,20.08,13.76
1981,12,12,15.02,12.61,13.81,15.41,9.02,20.06,11.04
1981,12,13,15,11.96,13.48,15.1,9.54,20.16,10.62
1981,12,14,15.84,12.76,14.3,15.65,7.14,20.08,12.94
1981,12,15,15.93,13.44,14.69,16.27,9.85,21.77,11.93
1981,12,16,15.97,13.42,14.69,16.36,8.85,21.4,12.55
1981,12,17,16.09,12.93,14.51,15.71,6,19.31,13.31
1981,12,18,15.02,10.37,12.69,15.6,4.69,17.33,12.65
1981,12,19,12.95,7.37,10.16,13.5,5.81,16.11,10.29
1981,12,20,12.83,8.32,10.57,14.01,9.78,17.98,8.21
1981,12,21,15.3,12.35,13.83,15.44,5.3,18.42,13.12
1981,12,22,16.05,14.04,15.05,16.26,4.41,18.96,14.55
1981,12,23,16.08,13.31,14.69,16.44,6.87,20.62,13.76
1981,12,24,15.67,12.76,14.22,16.21,4.45,18.62,14.17
1981,12,25,13.79,8.2,10.99,14.73,7.37,17.3,9.93
1981,12,26,13.55,7.14,10.34,13.8,9.47,18.48,9.01
1981,12,27,15.4,12.67,14.04,15.4,5.67,18.61,12.94
1981,12,28,16.54,14.19,15.37,16.44,4.94,19.75,14.81
1981,12,29,15.84,12.26,14.05,15.69,5.27,19.02,13.76
1981,12,30,16.96,13.33,15.15,16.86,8.8,21.62,12.82
1981,12,31,15.51,12.77,14.14,15.33,5.22,18.09,12.87
1982,1,1,13.94,8.87,11.41,14.34,8.05,18.81,10.76
1982,1,2,15,6.91,10.96,14.83,11.2,21.75,10.55
1982,1,3,15.82,6.14,10.98,15.19,11.44,22.82,11.37
1982,1,4,16.21,6.47,11.34,15.91,10.99,23.63,12.64
1982,1,5,16.23,7.13,11.69,15.73,10.57,23.13,12.56
1982,1,6,15.47,9.33,12.4,15.06,10.81,21.94,11.12
1982,1,7,16.44,9.2,12.83,15.38,10.62,23.34,12.72
1982,1,8,17.14,6.05,11.59,14.94,10.17,22.26,12.09
1982,1,9,16.7,3.98,10.34,15.18,11.89,23.45,11.56
1982,1,10,15.1,9.95,12.53,15.57,6.13,18.9,12.76
1982,1,11,15.08,12.3,13.69,15.54,4.21,17.55,13.33
1982,1,12,13.06,9.54,11.3,13.92,3.52,14.83,11.3
1982,1,13,12.68,10.45,11.57,13.39,3.65,14.94,11.3
1982,1,14,12.89,9.76,11.32,13.6,4.8,16.09,11.29
1982,1,15,13.76,10.97,12.37,14.03,6.06,17.45,11.4
1982,1,16,13.34,11.33,12.33,13.62,3.23,15.12,11.88
1982,1,17,12.1,7.78,9.94,12.68,2.77,13.68,10.9
1982,1,18,12.76,6.53,9.65,13.21,4.98,15.71,10.73
1982,1,19,12,8.39,10.19,12.09,3.13,13.6,10.47
1982,1,20,12.76,8.53,10.65,12.8,5.73,16.3,10.57
1982,1,21,12.59,9.38,10.99,13.07,8.23,17.16,8.94
1982,1,22,12.33,9.41,10.87,12.82,8,17.55,9.55
1982,1,23,12.54,8.85,10.69,12.84,10.27,18.57,8.3
1982,1,24,12.83,9.38,11.11,12.81,8.2,18.02,9.82
1982,1,25,12.8,9.23,11.01,13.21,9.69,18.45,8.76
1982,1,26,13.53,9.45,11.49,13.61,9.09,19.09,10.01
1982,1,27,13.51,10.42,11.96,13.91,7.99,18.17,10.17
1982,1,28,13.35,8.63,10.99,13.9,6.95,17.37,10.42
1982,1,29,12.91,5.7,9.3,12.94,12.76,19.69,6.93
1982,1,30,12.81,7.14,9.98,12.9,10.95,18.83,7.89
1982,1,31,12.38,7.86,10.12,12.38,7.82,17.49,9.67
1982,2,1,12.23,8.23,10.23,12.32,8.38,17.46,9.08
1982,2,2,11.44,6.83,9.14,11.94,6.74,15.62,8.88
1982,2,3,11.91,5.64,8.77,12.3,11.03,18.65,7.61
1982,2,4,14.38,5.44,9.91,14.14,14,22.89,8.9
